w_power,w_airspeed,w_fc,pressure_altitude,temperature,propeller_pitch,manifold_pressure,optimal_power,optimal_airspeed,optimal_fc,objective_value
0.0,1.0,0.0,2.255964213024161e-9,30.99999999991787,2100.0000000000455,15.00000000000062,31.16683442899802,94.15719986007281,5.947242793595329,94.15719986007281
0.025,0.975,0.0,2.280807124949874e-9,30.999999999920455,2100.000000000046,15.00000000000062,31.166834428997866,94.15719986007272,5.9472427935953185,92.58244072429585
0.05,0.95,0.0,2.3058058061095323e-9,30.999999999922764,2100.0000000000464,15.000000000000618,31.166834428997735,94.15719986007272,5.947242793595308,91.00768158851898
0.075,0.925,0.0,2.3380835634939356e-9,30.999999999924952,2100.0000000000473,15.00000000000062,31.16683442899765,94.15719986007275,5.947242793595308,89.43292245274212
0.1,0.9,0.0,2.357038758366511e-9,30.999999999927013,2100.0000000000477,15.000000000000618,31.166834428997536,94.15719986007272,5.947242793595297,87.8581633169652
0.125,0.875,0.0,2.3854862550792495e-9,30.999999999929038,2100.000000000048,15.00000000000062,31.16683442899743,94.1571998600727,5.94724279359529,86.28340418118827
0.15,0.85,0.0,2.416927081189714e-9,30.99999999993094,2100.000000000049,15.000000000000618,31.166834428997326,94.15719986007275,5.947242793595279,84.70864504541143
0.175,0.825,0.0,2.440499829120218e-9,30.999999999932644,2100.0000000000496,15.000000000000618,31.166834428997237,94.15719986007272,5.9472427935952865,83.1338859096345
0.2,0.8,0.0,2.4684960801390853e-9,30.999999999934097,2100.0000000000505,15.00000000000062,31.166834428997202,94.15719986007281,5.947242793595276,81.55912677385768
0.225,0.775,0.0,2.48708951909083e-9,30.99999999993588,2100.000000000051,15.000000000000616,31.166834428997092,94.15719986007275,5.947242793595265,79.98436763808073
0.25,0.75,0.0,2.5250210369459517e-9,30.999999999937316,2100.000000000052,15.000000000000616,31.166834428997063,94.15719986007284,5.947242793595265,78.40960850230388
0.275,0.725,0.0,2.556338262398632e-9,30.999999999938783,2100.0000000000523,15.000000000000616,31.166834428996975,94.15719986007284,5.947242793595258,76.83484936652697
0.3,0.7,0.0,2.5877650349500953e-9,30.999999999940158,2100.000000000053,15.000000000000618,31.16683442899695,94.15719986007286,5.947242793595262,75.26009023075008
0.325,0.675,0.0,2.6207546636655964e-9,30.999999999941465,2100.000000000054,15.000000000000616,31.166834428996903,94.15719986007295,5.9472427935952545,73.68533109497324
0.35,0.65,0.0,2.6526357004407073e-9,30.9999999999428,2100.000000000055,15.000000000000616,31.166834428996854,94.15719986007298,5.947242793595262,72.11057195919634
0.375,0.625,0.0,2.6839278189268933e-9,30.99999999994397,2100.000000000056,15.000000000000618,31.16683442899682,94.15719986007305,5.947242793595258,70.53581282341946
0.4,0.6,0.0,2.719923840286868e-9,30.999999999945103,2100.0000000000564,15.000000000000616,31.166834428996783,94.15719986007306,5.947242793595251,68.96105368764255
0.425,0.575,0.0,2.753920842724301e-9,30.9999999999462,2100.0000000000578,15.000000000000616,31.166834428996776,94.15719986007312,5.947242793595251,67.38629455186566
0.45,0.55,0.0,2.7924272709219318e-9,30.999999999947285,2100.000000000058,15.000000000000616,31.16683442899673,94.1571998600731,5.9472427935952545,65.81153541608874
0.475,0.525,0.0,2.830043354432793e-9,30.999999999948304,2100.0000000000596,15.000000000000615,31.16683442899671,94.15719986007322,5.947242793595251,64.23677628031189
0.5,0.5,0.0,2.86946077680182e-9,30.999999999949317,2100.0000000000605,15.000000000000616,31.166834428996697,94.15719986007326,5.947242793595251,62.66201714453498
0.525,0.475,0.0,2.907047003289853e-9,30.99999999995026,2100.0000000000614,15.000000000000615,31.166834428996676,94.15719986007333,5.947242793595251,61.087258008758084
