Pressure Altitude (ft),Temperature (¡C),Propeller Pitch (rpm),Manifold Pressure (inHG),Power (%bHP),Airspeed (KTAS),Fuel Consumption (gal/hr),,,,y2zscore
4000,7,2300,22,-72,-136,12.3,,,,-0.931091657
4000,7,2300,21,-68,-133,11.5,,,,-0.562551108
4000,7,2300,20,-63,-129,10.8,,,,-0.071163709
4000,7,2200,23,-72,-136,12.3,,,,-0.931091657
4000,7,2200,22,-68,-133,11.6,,,,-0.562551108
4000,7,2200,21,-64,-129,10.9,,,,-0.071163709
4000,7,2200,20,-59,-126,10.2,,,,0.29737684
4000,7,2200,19,-55,-121,9.5,,,,0.911611089
4000,7,2100,23,-67,-133,11.5,,,,-0.562551108
4000,7,2100,22,-63,-129,10.8,,,,-0.071163709
4000,7,2100,21,-59,-126,10.1,,,,0.29737684
4000,7,2100,20,-55,-121,9.5,,,,0.911611089
4000,7,2100,19,-51,-117,8.9,,,,1.402998488
4000,7,2100,18,-47,-112,8.3,,,,2.017232736
4000,7,2100,17,-43,-107,7.8,,,,2.631466985
4000,27,2400,22,-73,-140,12.5,,,,-1.422479056
4000,27,2400,21,-69,-136,11.7,,,,-0.931091657
4000,27,2400,20,-64,-133,11,,,,-0.562551108
4000,27,2400,19,-60,-128,10.2,,,,0.051683141
4000,27,2300,23,-74,-141,12.6,,,,-1.545325906
4000,27,2300,22,-70,-137,11.9,,,,-1.053938507
4000,27,2300,21,-65,-134,11.2,,,,-0.685397958
4000,27,2300,20,-61,-130,10.4,,,,-0.194010559
4000,27,2200,23,-70,-137,11.9,,,,-1.053938507
4000,27,2200,22,-66,-134,11.2,,,,-0.685397958
4000,27,2200,21,-61,-130,10.5,,,,-0.194010559
4000,27,2200,20,-57,-126,9.8,,,,0.29737684
4000,27,2200,19,-53,-121,9.2,,,,0.911611089
4000,27,2100,23,-65,-133,11.1,,,,-0.562551108
4000,27,2100,22,-61,-130,10.4,,,,-0.194010559
4000,27,2100,21,-57,-126,9.8,,,,0.29737684
