w_fuel_consumption,objective_value
0.0,62.662017144550184
0.02,61.289831945787775
0.04,59.9176467470254
0.06,58.54546154826302
0.08,57.173276349500625
0.1,55.801091150738245
0.12,54.42890595197583
0.14,53.05672075321345
0.16,51.68453555445104
0.18,50.31235035568865
0.2,48.94016515692627
0.22,47.56797995816385
0.24,46.19579475937664
0.26,44.82360956061424
0.28,43.45142436185185
0.3,42.07923916308946
0.32,40.707053964327066
0.34,39.334868765564664
0.36,37.962683566802276
0.38,36.59049836803989
0.4,35.21831316927751
0.42,33.84612797051512
0.44,32.47394277175274
0.46,31.10175757299033
0.48,29.729572374227946
0.5,28.357387175465554
0.52,26.985201976703156
0.54,25.613016777940775
0.56,24.24083157917838
0.58,22.868646380415992
0.6,21.4964611816536
0.62,20.12427598289121
0.64,18.75209078412882
0.66,17.379905585366416
0.68,16.00772038660402
0.7,14.635535187841644
0.72,13.263349989079245
0.74,11.891164790316855
0.76,10.518979591554471
0.78,9.146794392792074
0.8,7.774609194029685
0.82,6.402423995267301
0.84,5.030238796504908
0.86,2.8916587975248724
0.88,0.48248377358269146
0.9,-1.9266912503595037
0.92,-4.335866274301681
0.94,-6.745041298243855
0.96,-9.221183116330307
0.98,-11.846088629248987
1.0,-14.47099466146834
