pressure_altitude,temperature,propeller_pitch,manifold_pressure,optimal_power,optimal_airspeed,optimal_fc,objective_value
2062.4999999991583,21.25000000017411,2000.0000000000002,15.999999999999998,34.215084393180184,96.02928763933129,6.4971670745945715,1.6013957058094012e11
2062.499999997286,21.250000000344926,2050.0000000000005,15.999999999999998,35.647214835202796,98.46129813648552,6.6461798253442375,2.0263957058215927e11
2062.499999998732,27.500000000168548,2000.0000000000002,15.999999999999998,33.782239032259625,95.7586333441212,6.454278981679806,1.6014057076827744e11
2062.499999999467,27.500000000508834,2050.0000000000005,15.999999999999998,35.20356514625807,98.24214238729809,6.600371986687236,2.0264057076950757e11
2062.4999999975284,27.500000000338147,2100.0000000000005,15.999999999999998,36.62489126029085,100.72565143049097,6.746464991698108,2.5014057077073755e11
2062.499999998648,27.50000000011621,2150.0000000000005,15.999999999999998,38.04621737432987,103.20916047368584,6.89255799670984,3.0264057077196747e11
2062.499999995893,27.50000000053281,2200.0000000000005,15.999999999999998,39.46754348831875,105.69266951686555,7.038651001715827,3.601405707731975e11
2062.4999999994425,27.500000000137575,2250.0000000000005,15.999999999999998,40.888869602373134,108.17617856006177,7.184744006729524,4.2264057077442725e11
2062.4999999988786,33.75000000018243,2000.0000000000002,15.999999999999998,33.34939367133808,95.48797904891101,6.411390888764942,1.601415349891258e11
2062.4999999972724,33.75000000021248,2050.0000000000005,15.999999999999998,34.759915457343325,98.02298663812128,6.5545641480332435,2.0264153499036697e11
2062.4999999974198,33.75000000034501,2100.0000000000005,15.999999999999998,36.170437243342086,100.55799422733159,6.697737407300849,2.50141534991608e11
2062.4999999998627,33.75000000106428,2150.0000000000005,15.999999999999998,37.580959029298064,103.09300181653595,6.840910666563708,3.0264153499284906e11
2062.499999998502,33.7500000001897,2200.0000000000005,15.999999999999998,38.99148081537072,105.6280094057639,6.984083925839471,3.6014153499408997e11
2062.4999999982833,33.7500000000673,2250.0000000000005,15.999999999999998,40.40200260138846,108.16301699497743,7.1272571851092295,4.2264153499533093e11
2062.4999999989745,40.000000000197296,2000.0000000000002,15.999999999999998,32.91654831041642,95.21732475370062,6.36850279585007,1.6014246513224246e11
2062.499999998372,40.00000000020649,2050.0000000000005,15.999999999999998,34.31626576840998,97.80383088893842,6.508756309377397,2.0264246513349472e11
2062.4999999975175,40.000000000347384,2100.0000000000005,15.999999999999998,35.71598322639378,100.39033702417258,6.649009822903654,2.5014246513474673e11
2062.499999998258,40.000000000080746,2150.0000000000005,15.999999999999998,37.11570068440838,102.97684315941848,6.789263336433287,3.026424651359988e11
2062.49999999863,40.00000000021421,2200.0000000000005,15.999999999999998,38.51541814239322,105.56334929465541,6.929516849959654,3.601424651372508e11
2062.4999999958245,40.00000000005315,2250.0000000000005,15.999999999999998,39.91513560039871,108.14985542989139,7.069770363488296,4.226424651385028e11
2062.499999996521,40.000000000506766,2300.0000000000005,15.999999999999998,41.314853058357826,110.73636156513265,7.210023877011476,4.9014246513975494e11
2062.4999999909505,40.00000000146186,2350.0000000000005,15.999999999999998,42.71457051627112,113.3228677003812,7.350277390528483,5.626424651410073e11
2062.4999999934735,40.00000000109597,2400.0000000000005,15.999999999999998,44.11428797429534,115.90937383562522,7.490530904059458,6.401424651422592e11
4124.999999999244,27.50000000012485,2000.0000000000002,15.999999999999998,35.05528604876989,98.37647551360104,6.619675086533043,1.6009870135330542e11
4124.999999998946,27.500000000165294,2050.0000000000005,15.999999999999998,36.463583489287444,100.84597750108829,6.776164636848051,2.0259870135453162e11
4124.999999998643,33.750000000168974,2000.0000000000002,15.999999999999998,34.6142782297707,98.05715965350717,6.572075790936385,1.6010021006178458e11
4124.99999999585,33.75000000033041,2050.0000000000005,15.999999999999998,36.00986556363209,100.57970457929474,6.725290975602999,2.026002100630216e11
4124.999999997194,33.750000000230074,2100.0000000000005,15.999999999999998,37.40545289751486,103.10224950509917,6.878506160272046,2.5010021006425833e11
4124.999999996572,40.000000000240625,2400.0000000000005,15.999999999999998,45.23628822859969,118.34254670626405,7.724003047506869,6.401016734813516e11
6187.499999998091,27.500000000072635,2000.0000000000002,15.999999999999998,36.328333065279836,100.99431768307991,6.78507119138628,1.6006635709126868e11
6187.499999998127,33.75000000011604,2000.0000000000002,15.999999999999998,35.879162788206024,100.62634025810549,6.732760693108162,1.6006809055554507e11
6187.499999997038,40.00000000021419,2400.0000000000005,15.999999999999998,46.358288482833956,120.77571957691876,7.957475190945264,6.400697831066947e11
8249.999999985052,40.000000000566374,2400.0000000000005,15.999999999999998,47.48028873702593,123.20889244756117,8.190947334376926,6.400454091876718e11
10312.499999994603,33.7500000000649,2000.0000000000002,15.999999999999998,38.4089319050715,105.76470146729746,7.054130497451222,1.6002583534093375e11
14437.499999924905,40.00000000050937,2000.0000000000002,17.999999999999996,47.35194083713788,123.80892370704044,8.30890183653246,4.000025841451681e10
14437.50000000382,39.99999999946804,2000.0000000000002,18.999999999999996,50.799470799617396,130.5431660648017,8.811180258430866,1.0000241835567522e10
14437.500000000002,39.99999999999999,2000.0000000000002,19.99985084392517,54.24648654184976,137.27640396920717,9.313383762421278,2.225034120485298e6
14437.500000000002,39.99999999999998,2000.0000000023476,20.000000000000004,54.24700076196915,137.27740842246033,9.313458680312817,2.225256618264694e6
15428.17369147883,43.148093618626234,2000.0000000000002,17.999999999999996,47.60214686945281,125.16918255319642,8.337450620535279,4.0000000055166664e10
14437.50000004709,46.249999999688875,2000.0000000000002,18.999999999999996,50.129811262455526,130.30545724436485,8.71331751184061,1.000010045376203e10
