pressure_altitude,temperature,propeller_pitch,manifold_pressure,optimal_power,optimal_airspeed,optimal_fc,objective_value
3299.999999997822,-9.999999999847173,2100.0000000000005,16.599999999999998,42.63683205319074,105.85567293316623,7.561945561012475,1.936932263281264e11
3299.9999999979404,-9.99999999981033,2100.0000000000005,18.199999999999996,49.28727587791864,112.27199143911672,8.606980101478989,7.846488913011742e10
3299.999999999295,-9.999999999925436,2100.0000000000005,19.799999999999997,55.93771970266126,118.68830994506942,9.652014641947655,1.444167193210818e10
3299.999999999999,-9.99999999999997,2139.9999999875913,21.399999999999995,64.25915288915948,126.41288560041251,10.985899595634013,2.357473510846752e7
3299.9999999999995,-9.999999999999998,2159.9999999999995,21.600465490891086,65.95477435170237,127.84752271172685,11.269719444745096,2.167041883209439e7
3299.999999997958,-9.99999999983794,2159.9999999999995,23.000000000000004,71.95968375882245,133.29658342508407,12.242892490692519,1.9610597537639935e10
3299.999999998746,-9.99999999992034,2160.0000000000005,16.599999999999998,44.49953900672754,108.37830642762724,7.7926217374199,2.5009322632953427e11
3299.9999999966944,-9.999999999768757,2160.0000000000005,18.199999999999996,51.364575194738904,114.6078756769875,8.905189425736342,1.156648891315608e11
3299.9999999978913,-9.999999999817767,2160.0000000000005,19.799999999999997,58.2296113827694,120.83744492635472,10.017757114055431,3.2441671933586903e10
3299.9999999995453,-9.999999999964897,2160.0000000000005,21.399999999999995,65.094647570812,127.06701417571861,11.130324802376663,4.235747356131699e8
3299.9999999999995,-9.999999999999998,2219.9999999999995,22.20040549689198,71.14274011950064,132.05234136226073,12.153949919936995,1.64444937163698e7
3299.9999999991924,-9.999999999872895,2219.9999999999995,23.000000000000004,74.6807601655362,135.0722198932001,12.74370125850588,6.41059753918915e9
3299.9999999972633,-9.999999999785617,2220.0000000000005,16.599999999999998,46.36224596024603,110.90093992208227,8.023297913824923,3.1369322633094226e11
3299.99999999834,-9.999999999937508,2220.0000000000005,18.199999999999996,53.44187451158043,116.94375991486218,9.203398749996826,1.600648891330041e11
3299.999999999131,-9.999999999681167,2220.0000000000005,19.799999999999997,60.521503062875155,122.98657990764717,10.383499586162745,5.76416719350656e10
3299.9999999987267,-9.999999999930328,2220.0000000000005,21.399999999999995,67.60113161422214,129.0293999004183,11.563600422337029,6.423574737127262e9
3299.9999999999995,-9.999999999999998,2279.9999999999995,22.800345502838645,76.49163406670516,136.11711207495017,13.088825191495712,1.1938496634366514e7
3299.999999999261,-9.999999999915234,2279.9999999999995,23.000000000000004,77.40183657225067,136.8478563613127,13.244510026319421,4.105975407383744e8
3299.9999999956485,-9.999999999930717,2280.0000000000005,16.599999999999998,48.22495291378756,113.42357341653857,8.253974090232905,3.844932263323503e11
3299.9999999973525,-9.999999999798133,2280.0000000000005,18.199999999999996,55.51917382839149,119.27964415273466,9.501608074252825,2.1166488913444748e11
3299.999999998863,-9.999999999694479,2280.0000000000005,19.799999999999997,62.813394742995186,125.13571488893382,10.74924205827233,9.00416719365443e10
3299.999999997488,-9.999999999777412,2280.0000000000005,21.399999999999995,70.1076156576173,130.99178562512216,11.996876042294797,1.9623574738641376e10
3299.999999999999,-9.999999999999945,2299.999999987584,22.999999999999996,78.3088620406025,137.43973518364743,13.411446282155453,1.0597541254771648e7
3299.9999999999995,-9.999999999999998,2339.9999999999995,23.400285509222865,82.00145619560203,140.04183485155698,14.074345259818624,8.152427586084483e6
3299.999999995589,-9.999999999784945,2340.0000000000005,16.599999999999998,50.0876598673053,115.9462069109982,8.484650266637765,4.6249322633375824e11
3299.999999994167,-9.999999999914774,2340.0000000000005,18.199999999999996,57.59647314522603,121.61552839059948,9.799817398512257,2.7046488913589084e11
3299.999999998962,-9.999999999852074,2340.0000000000005,19.799999999999997,65.10528642313199,127.28484987021614,11.114984530384667,1.2964167193802295e11
3299.999999998894,-9.99999999984137,2340.0000000000005,21.399999999999995,72.61409970103992,132.9541713498234,12.430151662257256,4.002357474015543e10
3299.999999999124,-9.999999999926786,2340.0000000000005,22.999999999999996,80.12291297896124,138.62349282942637,13.745318794132256,1.610597542287748e9
3299.9999999999995,-9.999999999999998,2399.9999999999995,24.00022551487746,87.67220650073318,143.82650968792825,15.110510123952462,5.08628657152375e6
3299.999999993567,-9.999999999740007,2400.0000000000005,16.599999999999998,51.95036682083017,118.46884040545555,8.715326443043459,5.476932263351663e11
3299.9999999988313,-9.999999999536607,2400.0000000000005,18.199999999999996,59.67377246201454,123.95141262849137,10.098026722764779,3.364648891373342e11
3299.999999998894,-9.999999999852461,2400.0000000000005,19.799999999999997,67.3971781032515,129.43398485150263,11.48072700249421,1.7644167193950162e11
3299.9999999986185,-9.999999999709294,2400.0000000000005,21.399999999999995,75.12058374443627,134.91655707452998,12.863427282215142,6.762357474166953e10
3299.999999998084,-9.999999999930045,2400.0000000000005,22.999999999999996,82.84398938567018,140.39912929753808,14.246127561944846,1.0010597543837202e10
3299.999999999999,-9.999999999999948,2459.9999999978277,24.599999999999998,93.50306379678543,147.4705887320301,16.197169757315265,2.7403475896954713e6
3299.9999999982583,-1.5999999998169248,2100.0000000000005,16.599999999999998,41.98690068993274,105.65012858304483,7.483400690810903,1.9369529209819913e11
3299.9999999973097,-1.599999999815013,2100.0000000000005,18.199999999999996,48.558706331974406,112.21721194491671,8.505278026091492,7.846661445536919e10
3299.999999999252,-1.5999999999382972,2100.0000000000005,19.799999999999997,55.13051197402987,118.78429530679252,9.527155361374213,1.4443056812538923e10
